datetime,ticker,value
2026-03-13 14:00:00,MARKET,49.88
2026-03-13 15:00:00,CL,59.31
2026-03-13 15:00:00,MARKET,49.83
2026-03-13 15:00:00,NQ,45.45
2026-03-13 16:00:00,6E,51.09
2026-03-13 16:00:00,ES,51.74
2026-03-13 16:00:00,MARKET,49.11
2026-03-13 17:00:00,CL,59.81
2026-03-13 17:00:00,ES,47.7
2026-03-13 17:00:00,MARKET,48.42
2026-03-13 18:00:00,CL,53.52
2026-03-13 18:00:00,MARKET,50.11
2026-03-13 18:00:00,NG,46.05
2026-03-13 19:00:00,6A,49.53
2026-03-13 19:00:00,ES,49.02
2026-03-13 19:00:00,MARKET,50.31
2026-03-13 19:00:00,NQ,45.87
2026-03-13 20:00:00,ES,39.64
2026-03-13 20:00:00,MARKET,50.71
2026-03-13 21:00:00,MARKET,47.89
2026-03-13 22:00:00,CL,49.93
2026-03-13 22:00:00,MARKET,49.91
2026-03-13 23:00:00,6A,38.78
2026-03-13 23:00:00,CL,50.62
2026-03-13 23:00:00,MARKET,47.82
2026-03-14 00:00:00,MARKET,48.03
2026-03-14 02:00:00,CL,44.3
2026-03-14 03:00:00,MARKET,48.07
2026-03-14 04:00:00,MARKET,48.76
2026-03-14 07:00:00,MARKET,48.95
2026-03-14 08:00:00,MARKET,49.66
2026-03-14 13:00:00,MARKET,50.44
2026-03-14 14:00:00,6A,46.09
2026-03-14 14:00:00,MARKET,50.8
2026-03-14 15:00:00,CL,38.9
2026-03-14 15:00:00,MARKET,49.73
2026-03-14 16:00:00,MARKET,47.74
2026-03-14 17:00:00,MARKET,47.94
2026-03-14 18:00:00,MARKET,46.19
2026-03-14 19:00:00,CL,45.5
2026-03-14 19:00:00,MARKET,49.77
2026-03-14 19:00:00,NQ,42.65
2026-03-14 20:00:00,MARKET,46.83
2026-03-14 22:00:00,MARKET,47.8
2026-03-14 23:00:00,MARKET,49.41
2026-03-15 02:00:00,MARKET,48.72
2026-03-15 05:00:00,MARKET,50.08
2026-03-15 06:00:00,MARKET,50.16
2026-03-15 07:00:00,MARKET,50.2
2026-03-15 08:00:00,MARKET,50.62
